,Company,Forecast_Period,Num_Days,Mean
54,Google,1,180,0.5136
55,Google,1,270,0.5167224080267558
56,Google,5,1,0.5501474926253688
57,Google,5,5,0.7799113737075333
58,Google,5,10,0.7333333333333333
59,Google,5,20,0.6354166666666666
60,Google,5,90,0.5775729646697388
61,Google,5,180,0.5128205128205128
62,Google,5,270,0.525963149078727
63,Google,10,1,0.5650887573964497
64,Google,10,5,0.6503703703703704
65,Google,10,10,0.8234421364985163
66,Google,10,20,0.6378539493293591
67,Google,10,90,0.6061538461538462
68,Google,10,180,0.449438202247191
69,Google,10,270,0.5654362416107382
70,Google,20,1,0.6077265973254086
71,Google,20,5,0.5997023809523809
72,Google,20,10,0.6810730253353204
73,Google,20,20,0.9221556886227545
74,Google,20,90,0.41731066460587324
75,Google,20,180,0.40483870967741936
76,Google,20,270,0.5008431703204047
77,Google,90,1,0.5828220858895705
78,Google,90,5,0.38863287250384027
79,Google,90,10,0.36153846153846153
80,Google,90,20,0.38639876352395675
81,Google,90,90,0.9201277955271565
82,Google,90,180,0.7979966611018364
83,Google,90,270,0.7552447552447552
84,Google,180,1,0.9296
85,Google,180,5,0.9294871794871795
86,Google,180,10,0.8346709470304976
87,Google,180,20,0.7758064516129032
88,Google,180,90,0.8831385642737897
89,Google,180,180,0.9283216783216783
90,Google,180,270,0.9229357798165138
91,Google,270,1,0.9882943143812709
92,Google,270,5,0.9899497487437185
93,Google,270,10,0.988255033557047
94,Google,270,20,0.9831365935919055
95,Google,270,90,0.9772727272727273
96,Google,270,180,0.9889908256880734
97,Google,270,270,0.9864864864864865
98,Amazon,1,1,0.46244477172312226
99,Amazon,1,5,0.6946902654867256
100,Amazon,1,10,0.6272189349112426
101,Amazon,1,20,0.5690936106983655
102,Amazon,1,90,0.5521472392638037
103,Amazon,1,180,0.5152
104,Amazon,1,270,0.5468227424749164
105,Amazon,5,1,0.6091445427728613
106,Amazon,5,5,0.8094534711964549
107,Amazon,5,10,0.68
108,Amazon,5,20,0.6220238095238095
109,Amazon,5,90,0.6129032258064516
110,Amazon,5,180,0.5512820512820513
111,Amazon,5,270,0.6113902847571189
112,Amazon,10,1,0.6464497041420119
113,Amazon,10,5,0.6711111111111111
114,Amazon,10,10,0.8605341246290801
115,Amazon,10,20,0.7257824143070045
116,Amazon,10,90,0.6461538461538462
117,Amazon,10,180,0.6436597110754414
118,Amazon,10,270,0.6359060402684564
119,Amazon,20,1,0.7488855869242199
120,Amazon,20,5,0.6919642857142857
121,Amazon,20,10,0.767511177347243
122,Amazon,20,20,0.9026946107784432
123,Amazon,20,90,0.6769706336939721
124,Amazon,20,180,0.7338709677419355
125,Amazon,20,270,0.6694772344013491
126,Amazon,90,1,0.7423312883435583
127,Amazon,90,5,0.5883256528417818
128,Amazon,90,10,0.49538461538461537
129,Amazon,90,20,0.6445131375579598
130,Amazon,90,90,0.9057507987220448
131,Amazon,90,180,0.5358931552587646
132,Amazon,90,270,0.6258741258741258
133,Amazon,180,1,0.9872
134,Amazon,180,5,0.9871794871794872
135,Amazon,180,10,0.9807383627608347
136,Amazon,180,20,0.9580645161290322
137,Amazon,180,90,0.986644407345576
138,Amazon,180,180,0.986013986013986
139,Amazon,180,270,0.9853211009174312
140,Amazon,270,1,1.0
141,Amazon,270,5,1.0
142,Amazon,270,10,1.0
143,Amazon,270,20,1.0
144,Amazon,270,90,0.9667832167832168
145,Amazon,270,180,1.0
146,Amazon,270,270,1.0
147,Microsoft,1,1,0.5022091310751104
148,Microsoft,1,5,0.6887905604719764
149,Microsoft,1,10,0.621301775147929
150,Microsoft,1,20,0.6032689450222882
151,Microsoft,1,90,0.5414110429447853
152,Microsoft,1,180,0.5424
153,Microsoft,1,270,0.5384615384615384
154,Microsoft,5,1,0.5929203539823009
155,Microsoft,5,5,0.7872968980797637
156,Microsoft,5,10,0.72
157,Microsoft,5,20,0.6220238095238095
158,Microsoft,5,90,0.5729646697388633
159,Microsoft,5,180,0.5897435897435898
160,Microsoft,5,270,0.5661641541038526
161,Microsoft,10,1,0.5872781065088757
162,Microsoft,10,5,0.674074074074074
163,Microsoft,10,10,0.8056379821958457
164,Microsoft,10,20,0.6616989567809239
165,Microsoft,10,90,0.6276923076923077
166,Microsoft,10,180,0.6019261637239165
167,Microsoft,10,270,0.6023489932885906
168,Microsoft,20,1,0.7325408618127786
169,Microsoft,20,5,0.6651785714285714
170,Microsoft,20,10,0.6959761549925484
171,Microsoft,20,20,0.8502994011976048
172,Microsoft,20,90,0.7418856259659969
173,Microsoft,20,180,0.5935483870967742
174,Microsoft,20,270,0.7521079258010118
175,Microsoft,90,1,0.911042944785276
176,Microsoft,90,5,0.8218125960061444
177,Microsoft,90,10,0.8015384615384615
178,Microsoft,90,20,0.8021638330757341
179,Microsoft,90,90,0.9776357827476039
180,Microsoft,90,180,0.8063439065108514
181,Microsoft,90,270,0.9090909090909091
182,Microsoft,180,1,0.9952
183,Microsoft,180,5,0.9951923076923077
184,Microsoft,180,10,0.9951845906902087
185,Microsoft,180,20,0.9935483870967742
186,Microsoft,180,90,1.0
187,Microsoft,180,180,1.0
188,Microsoft,180,270,1.0
189,Microsoft,270,1,0.9983277591973244
190,Microsoft,270,5,1.0
191,Microsoft,270,10,1.0
192,Microsoft,270,20,1.0
193,Microsoft,270,90,1.0
194,Microsoft,270,180,1.0
195,Microsoft,270,270,1.0
